ENSG00000275852 ENST00000616333
ENSG00000224440 ENST00000458472
ENSG00000276974 ENST00000610626
ENSG00000261140 ENST00000562232
ENSG00000236211 ENST00000419523
ENSG00000228738 ENST00000444345
ENSG00000214684 ENST00000398779
ENSG00000236118 ENST00000448601
ENSG00000135541 ENST00000533029
ENSG00000135541 ENST00000527681
ENSG00000135541 ENST00000531788
ENSG00000135541 ENST00000475846
ENSG00000135541 ENST00000528103
ENSG00000135541 ENST00000498558
ENSG00000135541 ENST00000457866
ENSG00000135541 ENST00000327035
ENSG00000135541 ENST00000529865
ENSG00000135541 ENST00000488690
ENSG00000135541 ENST00000265602
ENSG00000135541 ENST00000524469
ENSG00000135541 ENST00000367799
ENSG00000135541 ENST00000367800
ENSG00000135541 ENST00000534469
ENSG00000135541 ENST00000487135
ENSG00000135541 ENST00000531527
ENSG00000286035 ENST00000652524
ENSG00000258324 ENST00000550183
ENSG00000206917 ENST00000384190
ENSG00000276645 ENST00000610352
ENSG00000132604 ENST00000569611
ENSG00000132604 ENST00000566051
